0.312000, 2.762403, -0.948432;
0.314000, 2.780035, -0.957373;
0.316000, 2.797664, -0.966345;
0.318000, 2.815291, -0.975325;
0.320000, 2.832916, -0.984288;
0.322000, 2.850537, -0.993210;
0.324000, 2.868157, -1.002033;
0.326000, 2.885773, -1.010808;
0.328000, 2.903387, -1.019572;
0.330000, 2.920999, -1.028343;
0.332000, 2.938608, -1.037121;
0.334000, 2.956214, -1.045897;
0.336000, 2.973817, -1.054651;
0.338000, 2.991419, -1.063362;
0.340000, 3.009017, -1.072007;
0.342000, 3.026613, -1.080569;
0.344000, 3.044206, -1.088964;
0.346000, 3.061797, -1.097254;
0.348000, 3.079385, -1.105486;
0.350000, 3.096970, -1.113688;
0.352000, 3.114553, -1.121869;
0.354000, 3.132133, -1.130026;
0.356000, 3.149711, -1.138148;
0.358000, 3.167286, -1.146219;
0.360000, 3.184858, -1.154226;
0.362000, 3.202428, -1.162156;
0.364000, 3.219995, -1.169881;
0.366000, 3.237559, -1.177480;
0.368000, 3.255121, -1.185015;
0.370000, 3.272680, -1.192526;
0.372000, 3.290237, -1.200032;
0.374000, 3.307790, -1.207540;
0.376000, 3.325342, -1.215045;
0.378000, 3.342890, -1.222538;
0.380000, 3.360436, -1.230093;
0.382000, 3.377979, -1.237690;
0.384000, 3.395520, -1.245124;
0.386000, 3.413058, -1.252488;
0.388000, 3.430593, -1.259848;
0.390000, 3.448126, -1.267243;
0.392000, 3.465656, -1.274689;
0.394000, 3.483183, -1.282186;
0.396000, 3.500707, -1.289728;
0.398000, 3.518229, -1.297301;
0.400000, 3.535749, -1.304895;
0.402000, 3.553265, -1.312504;
0.404000, 3.570779, -1.319919;
0.406000, 3.588290, -1.327207;
0.408000, 3.605799, -1.334412;
0.410000, 3.623305, -1.341558;
0.412000, 3.640808, -1.348657;
0.414000, 3.658308, -1.355724;
0.416000, 3.675806, -1.362774;
0.418000, 3.693301, -1.369827;
0.420000, 3.710793, -1.376905;
0.422000, 3.728283, -1.384033;
0.424000, 3.745770, -1.391054;
0.426000, 3.763254, -1.397872;
0.428000, 3.780735, -1.404473;
0.430000, 3.798214, -1.410866;
0.432000, 3.815690, -1.417079;
0.434000, 3.833163, -1.423159;
0.436000, 3.850634, -1.429162;
0.438000, 3.868102, -1.435149;
0.440000, 3.885567, -1.441177;
0.442000, 3.903029, -1.447296;
0.444000, 3.920489, -1.453405;
0.446000, 3.937946, -1.459510;
0.448000, 3.955400, -1.465643;
0.450000, 3.972852, -1.471845;
0.452000, 3.990300, -1.478154;
0.454000, 4.007746, -1.484600;
0.456000, 4.025190, -1.491202;
0.458000, 4.042630, -1.497967;
0.460000, 4.060068, -1.504888;
0.462000, 4.077503, -1.511953;
0.464000, 4.094935, -1.519031;
0.466000, 4.112364, -1.526190;
0.468000, 4.129791, -1.533484;
0.470000, 4.147215, -1.540948;
0.472000, 4.164636, -1.548591;
0.474000, 4.182054, -1.556403;
0.476000, 4.199470, -1.564356;
0.478000, 4.216883, -1.572413;
0.480000, 4.234293, -1.580528;
0.482000, 4.251700, -1.588659;
0.484000, 4.269105, -1.596677;
0.486000, 4.286506, -1.604674;
0.488000, 4.303905, -1.612711;
0.490000, 4.321301, -1.620820;
0.492000, 4.338695, -1.629000;
0.494000, 4.356085, -1.637230;
0.496000, 4.373473, -1.645474;
0.498000, 4.390858, -1.653691;
0.500000, 4.408240, -1.661835;
0.502000, 4.425619, -1.669867;
0.504000, 4.442996, -1.677669;
0.506000, 4.460369, -1.685339;
0.508000, 4.477740, -1.692946;
0.510000, 4.495108, -1.700525;
0.512000, 4.512473, -1.708086;
0.514000, 4.529836, -1.715615;
0.516000, 4.547195, -1.723087;
0.518000, 4.564552, -1.730471;
0.520000, 4.581906, -1.737737;
0.522000, 4.599257, -1.744857;
0.524000, 4.616605, -1.751702;
0.526000, 4.633951, -1.758377;
0.528000, 4.651293, -1.764959;
0.530000, 4.668633, -1.771490;
0.532000, 4.685970, -1.777988;
0.534000, 4.703304, -1.784449;
0.536000, 4.720635, -1.790857;
0.538000, 4.737964, -1.797189;
0.540000, 4.755289, -1.803421;
0.542000, 4.772612, -1.809535;
0.544000, 4.789931, -1.815360;
0.546000, 4.807248, -1.821010;
0.548000, 4.824562, -1.826568;
0.550000, 4.841874, -1.832083;
0.552000, 4.859182, -1.837577;
0.554000, 4.876487, -1.843053;
0.556000, 4.893790, -1.848500;
0.558000, 4.911090, -1.853897;
0.560000, 4.928386, -1.859224;
0.562000, 4.945680, -1.864589;
0.564000, 4.962971, -1.869748;
0.566000, 4.980260, -1.874826;
0.568000, 4.997545, -1.879908;
0.570000, 5.014827, -1.885037;
0.572000, 5.032107, -1.890225;
0.574000, 5.049383, -1.895464;
0.576000, 5.066657, -1.900731;
0.578000, 5.083928, -1.906001;
0.580000, 5.101196, -1.911252;
0.582000, 5.118461, -1.916465;
0.584000, 5.135723, -1.921399;
0.586000, 5.152982, -1.926109;
0.588000, 5.170238, -1.930611;
0.590000, 5.187491, -1.934914;
0.592000, 5.204742, -1.939029;
0.594000, 5.221989, -1.942973;
0.596000, 5.239234, -1.946776;
0.598000, 5.256475, -1.950476;
0.600000, 5.273714, -1.954119;
0.602000, 5.290950, -1.957631;
0.604000, 5.308183, -1.960874;
0.606000, 5.325413, -1.963818;
0.608000, 5.342640, -1.966459;
0.610000, 5.359864, -1.968825;
0.612000, 5.377085, -1.970970;
0.614000, 5.394303, -1.972970;
0.616000, 5.411518, -1.974908;
0.618000, 5.428730, -1.976870;
0.620000, 5.445940, -1.978937;
0.622000, 5.463146, -1.981176;
0.624000, 5.480349, -1.983463;
0.626000, 5.497550, -1.985828;
0.628000, 5.514747, -1.988327;
0.630000, 5.531942, -1.991019;
0.632000, 5.549133, -1.993955;
0.634000, 5.566322, -1.997172;
0.636000, 5.583507, -2.000688;
0.638000, 5.600690, -2.004506;
0.640000, 5.617869, -2.008615;
0.642000, 5.635046, -2.012993;
0.644000, 5.652220, -2.017446;
0.646000, 5.669390, -2.022066;
0.648000, 5.686558, -2.026917;
0.650000, 5.703723, -2.032034;
0.652000, 5.720884, -2.037426;
0.654000, 5.738043, -2.043073;
0.656000, 5.755199, -2.048941;
0.658000, 5.772351, -2.054980;
0.660000, 5.789501, -2.061135;
0.662000, 5.806648, -2.067347;
0.664000, 5.823792, -2.073409;
0.666000, 5.840932, -2.079439;
0.668000, 5.858070, -2.085513;
0.670000, 5.875205, -2.091663;
0.672000, 5.892336, -2.097894;
0.674000, 5.909465, -2.104182;
0.676000, 5.926590, -2.110492;
0.678000, 5.943713, -2.116778;
0.680000, 5.960832, -2.122992;
0.682000, 5.977949, -2.129091;
0.684000, 5.995062, -2.134869;
0.686000, 6.012173, -2.140459;
0.688000, 6.029280, -2.145948;
0.690000, 6.046385, -2.151384;
0.692000, 6.063486, -2.156783;
0.694000, 6.080584, -2.162141;
0.696000, 6.097679, -2.167439;
0.698000, 6.114772, -2.172653;
0.700000, 6.131861, -2.177754;
0.702000, 6.148947, -2.182717;
0.704000, 6.166030, -2.187322;
0.706000, 6.183110, -2.191709;
0.708000, 6.200187, -2.195976;
0.710000, 6.217261, -2.200181;
0.712000, 6.234331, -2.204356;
0.714000, 6.251399, -2.208508;
0.716000, 6.268464, -2.212632;
0.718000, 6.285525, -2.216861;
0.720000, 6.302584, -2.221153;
0.722000, 6.319639, -2.225464;
0.724000, 6.336692, -2.229516;
0.726000, 6.353741, -2.233427;
0.728000, 6.370787, -2.237268;
0.730000, 6.387830, -2.241069;
0.732000, 6.404870, -2.244839;
0.734000, 6.421907, -2.248573;
0.736000, 6.438941, -2.252262;
0.738000, 6.455971, -2.255899;
0.740000, 6.472999, -2.259478;
0.742000, 6.490023, -2.263000;
0.744000, 6.507045, -2.266249;
0.746000, 6.524063, -2.269100;
0.748000, 6.541078, -2.271542;
0.750000, 6.558090, -2.273583;
0.752000, 6.575099, -2.275258;
0.754000, 6.592105, -2.276626;
0.756000, 6.609108, -2.277764;
0.758000, 6.626107, -2.278760;
0.760000, 6.643104, -2.279702;
0.762000, 6.660097, -2.280676;
0.764000, 6.677088, -2.281540;
0.766000, 6.694075, -2.282333;
0.768000, 6.711059, -2.283117;
0.770000, 6.728039, -2.283960;
0.772000, 6.745017, -2.284930;
0.774000, 6.761992, -2.286085;
0.776000, 6.778963, -2.287469;
0.778000, 6.795931, -2.289112;
0.780000, 6.812896, -2.291030;
0.782000, 6.829858, -2.293225;
0.784000, 6.846817, -2.295475;
0.786000, 6.863773, -2.297869;
0.788000, 6.880725, -2.300478;
0.790000, 6.897675, -2.303347;
0.792000, 6.914621, -2.306498;
0.794000, 6.931564, -2.309929;
0.796000, 6.948504, -2.313619;
0.798000, 6.965440, -2.317533;
0.800000, 6.982374, -2.321630;
0.802000, 6.999304, -2.325861;
0.804000, 7.016231, -2.329956;
0.806000, 7.033155, -2.334034;
0.808000, 7.050076, -2.338175;
0.810000, 7.066993, -2.342421;
0.812000, 7.083908, -2.346780;
0.814000, 7.100819, -2.351429;
0.816000, 7.117727, -2.356309;
0.818000, 7.134632, -2.361349;
0.820000, 7.151534, -2.366472;
0.822000, 7.168432, -2.371606;
0.824000, 7.185327, -2.376462;
0.826000, 7.202219, -2.381122;
0.828000, 7.219108, -2.385451;
0.830000, 7.235994, -2.389463;
0.832000, 7.252876, -2.393167;
0.834000, 7.269755, -2.396580;
0.836000, 7.286631, -2.399721;
0.838000, 7.303504, -2.402618;
0.840000, 7.320374, -2.405299;
0.842000, 7.337240, -2.407798;
0.844000, 7.354103, -2.409926;
0.846000, 7.370963, -2.411757;
0.848000, 7.387820, -2.413361;
0.850000, 7.404673, -2.414795;
0.852000, 7.421523, -2.416111;
0.854000, 7.438370, -2.417353;
0.856000, 7.455214, -2.418554;
0.858000, 7.472054, -2.419742;
0.860000, 7.488892, -2.420936;
0.862000, 7.505726, -2.422150;
0.864000, 7.522556, -2.423160;
0.866000, 7.539384, -2.424070;
0.868000, 7.556208, -2.424966;
0.870000, 7.573029, -2.426100;
0.872000, 7.589847, -2.427496;
0.874000, 7.606661, -2.429148;
0.876000, 7.623472, -2.431028;
0.878000, 7.640280, -2.433093;
0.880000, 7.657085, -2.435296;
0.882000, 7.673886, -2.437440;
0.884000, 7.690685, -2.439283;
0.886000, 7.707479, -2.440872;
0.888000, 7.724271, -2.442229;
0.890000, 7.741059, -2.443371;
0.892000, 7.757844, -2.444316;
0.894000, 7.774626, -2.445091;
0.896000, 7.791405, -2.445722;
0.898000, 7.808180, -2.446242;
0.900000, 7.824952, -2.446682;
0.902000, 7.841720, -2.447074;
0.904000, 7.858485, -2.447215;
0.906000, 7.875247, -2.447189;
0.908000, 7.892006, -2.447075;
0.910000, 7.908761, -2.446939;
0.912000, 7.925514, -2.446832;
0.914000, 7.942262, -2.446789;
0.916000, 7.959008, -2.446830;
0.918000, 7.975750, -2.447141;
0.920000, 7.992489, -2.447694;
0.922000, 8.009224, -2.448454;
0.924000, 8.025957, -2.449143;
0.926000, 8.042685, -2.449843;
0.928000, 8.059411, -2.450599;
0.930000, 8.076133, -2.451430;
0.932000, 8.092852, -2.452142;
0.934000, 8.109568, -2.452744;
0.936000, 8.126280, -2.453249;
0.938000, 8.142989, -2.453671;
0.940000, 8.159694, -2.454027;
